ticker,DaysPriorPerformance,DaysPriorSpyPerformance,DaysPriorAvgVolume,DayOfPerformance,DayOfVolume,DayOfMarketPerformance,ClosePositionRatio,DaysAfterPerformance,DaysAfterSpyPerformance,DaysAfterAvgVolume

ROC,1.6516516516516648,1.0644589000591433,481644.44444444444,-0.2954209748892213,1236500.0,-0.11702750146285375,0.5107692307692341,-6.370370370370367,-3.5149384885764503,689300.0
GST,-5.71428571428572,0.7079646017699048,475344.44444444444,-6.0606060606060534,1519000.0,-0.5858230814294083,0.7346938775510208,-12.90322580645161,-2.47495580436063,366766.6666666667
PAA,-4.464285714285714,0.7079646017699048,1049077.7777777778,1.8691588785046727,1980500.0,-0.5858230814294083,0.9696132596685084,-4.40366972477064,-2.47495580436063,1295011.111111111
YUM,6.323529411764701,4.164037854889586,2219333.3333333335,-1.1065006915629283,6580800.0,1.3930950938825024,0.48728813559322287,0.8391608391608312,0.8960573476702508,2970700.0
GTAT,1.9999999999999927,0.7079646017699048,2969177.777777778,5.882352941176485,18992200.0,-0.5858230814294083,0.0266666666666661,14.814814814814811,-2.47495580436063,4857633.333333333
DCO,-4.583333333333339,0.7079646017699048,86688.88888888889,13.100436681222707,294200.0,-0.5858230814294083,0.9931034482758622,2.316602316602322,-2.47495580436063,102444.44444444444
PRA,-2.5362318840579814,0.7079646017699048,199788.88888888888,-6.1338289962825225,788400.0,-0.5858230814294083,0.12980769230769348,-3.9603960396039604,-2.47495580436063,261777.77777777778
ALDW,6.060606060606057,0.7079646017699048,313744.44444444444,-3.809523809523813,978500.0,-0.5858230814294083,0.5498007968127483,-26.732673267326728,-2.47495580436063,594077.7777777778
BSDM,0.0,5.159235668789805,44811.11111111111,0.0,308300.0,0.0,0.8750000000000024,0.0,2.0593579648697795,179344.44444444444
HTCO,2.7522935779816415,0.7079646017699048,22866.666666666668,-0.8928571428571397,31900.0,-0.5858230814294083,0.0,-3.603603603603607,-2.47495580436063,16844.444444444445
SIGA,0.0,0.7079646017699048,183822.22222222222,-2.85714285714286,206800.0,-0.5858230814294083,0.2999999999999991,2.941176470588238,-2.47495580436063,203100.0
DRRX,9.09090909090908,0.7079646017699048,526588.8888888889,0.0,250400.0,-0.5858230814294083,0.25,-8.333333333333323,-2.47495580436063,1195077.7777777778
KND,4.575163398692805,0.7079646017699048,480222.22222222225,-1.8750000000000044,1768300.0,-0.5858230814294083,0.1123595505617975,-3.821656050955412,-2.47495580436063,479066.6666666667
GIG,0.0,0.7079646017699048,54800.0,0.0,206800.0,-0.5858230814294083,0.8461538461538461,0.0,-2.47495580436063,55444.444444444445
HCOM,1.115241635687735,1.0644589000591433,12144.444444444445,2.205882352941182,11800.0,-0.11702750146285375,0.9642857142857131,-9.712230215827335,-3.5149384885764503,17255.555555555555
RNET,-1.4084507042253471,0.7079646017699048,53266.666666666664,-1.4285714285714235,85600.0,-0.5858230814294083,0.6510067114093959,21.73913043478261,-2.47495580436063,62355.555555555555
REMY,2.9702970297029774,0.7079646017699048,61855.555555555555,0.9615384615384581,107500.0,-0.5858230814294083,0.875,-5.238095238095245,-2.47495580436063,28500.0
LGCY,-1.1070110701107037,0.7079646017699048,154322.22222222222,1.4925373134328304,164600.0,-0.5858230814294083,0.5200000000000008,-2.5735294117647034,-2.47495580436063,123877.77777777778
FNF,1.6393442622950907,0.7079646017699048,2058600.0,-1.2096774193548416,2990800.0,-0.5858230814294083,0.10526315789473488,-2.0408163265306123,-2.47495580436063,2117433.3333333335
ROSE,1.9148936170212734,0.7079646017699048,773500.0,-0.8350730688935253,2001000.0,-0.5858230814294083,0.9234449760765534,-5.263157894736842,-2.47495580436063,842077.7777777778
MAC,-6.923076923076923,0.7079646017699048,775688.8888888889,1.98347107438017,2166300.0,-0.5858230814294083,0.6878612716763018,-8.103727714748784,-2.47495580436063,1101344.4444444445
APL,-3.875968992248062,0.7079646017699048,350455.55555555556,0.0,317100.0,-0.5858230814294083,0.23529411764706176,-1.8817204301075343,-2.47495580436063,551433.3333333334
TSN,5.18518518518518,1.0644589000591433,2599755.5555555555,4.225352112676067,13381100.0,-0.11702750146285375,0.7241379310344834,6.756756756756756,-3.5149384885764503,5453555.555555556
BRS,-0.28776978417266597,0.7079646017699048,142944.44444444444,-3.6075036075036078,282500.0,-0.5858230814294083,0.3409090909090905,1.0479041916167708,-2.47495580436063,152011.11111111112
FDO,4.426229508196726,5.159235668789805,1286366.6666666667,7.064364207221349,9296300.0,0.0,0.727272727272727,-0.5865102639296271,2.0593579648697795,1980944.4444444445
OSIR,-4.9999999999999964,1.0644589000591433,65055.555555555555,-4.385964912280701,139000.0,-0.11702750146285375,0.23611111111111138,83.4862385321101,-3.5149384885764503,1777700.0
STAG,-2.3696682464454977,0.7079646017699048,476822.22222222225,0.9708737864077635,243000.0,-0.5858230814294083,0.08588957055214547,-5.288461538461545,-2.47495580436063,336166.6666666667
ASEI,-0.492610837438419,0.7079646017699048,19011.11111111111,-0.3300330033003347,51400.0,-0.5858230814294083,0.29912023460410614,-2.814569536423834,-2.47495580436063,23200.0
HI,-1.6129032258064602,0.7079646017699048,145777.77777777778,-0.8196721311475381,270800.0,-0.5858230814294083,0.3120567375886534,-0.8264462809917326,-2.47495580436063,197155.55555555556
MHGC,-1.3698630136986254,0.7079646017699048,122955.55555555556,-2.77777777777778,159500.0,-0.5858230814294083,0.3846153846153836,-2.85714285714286,-2.47495580436063,119311.11111111111
